uav_name, uvdar_id, position_x, position_y, position_z, heading
uav11,     2,        0.0,        -2.0,        0.0,        0.0
uav12,     0,        5.0,        2.0,        3.0,        0.7
uav14,     1,        0.0,        5.0,        0.0,        0.0
