uav_name, uvdar_id, position_x, position_y, position_z, heading
uav11,    2,        0.0,        0.0,        0.0,        0.0
uav12,    0,        7.0,        8.0,        0.0,        -0.7
uav14,    1,        0.0,        13.0,       0.0,        0.0
